folio,area,depto,nro,s01a_02,s01a_03,s01a_04a,s01a_04b,s01a_04c,s01a_05,s01a_05a,s01a_05b,s01a_05c,s01a_06,s01a_07_1,s01a_07_2,s01a_07_3,s01a_08,s01a_09,s01a_09npioc,s01a_10,s01b_11a,s01b_11b,s01b_11c,s01b_11d,s01b_11e,s01b_12,s01b_12e,s01b_13a,s01b_10a,s01b_13b,s02a_01a,s02a_01b,s02a_01e,s02a_02a,s02a_02b,s02a_02c,s02a_02d,s02a_02e,s02a_02f,s02a_02g,s02a_02h,s02a_02he,s02a_03a,s02a_03b,s02a_03c,s02a_03d,s02a_03e,s02a_04a,s02a_04b,s02a_04c,s02a_04d,s02a_05,s02b_06,s02b_06b,s02b_07,s02b_08,s02b_09a,s02b_09b,s02b_10,s02b_10e,s02b_11,s02b_12a1,s02b_12a2,s02b_12b,s02b_13,s02b_14,s02b_14a,s02c_15,s02d_16,s02d_17,s02d_17a,s03a_01,s03a_01a,s03a_02a,s03a_02c,s03a_03a,s03a_03c,s03a_04,s03a_05,s03a_05e,s03a_06a,s03a_06c,s03a_07a,s03a_07b,s03a_08,s03a_09,s03b_10,s03b_11,s03b_11e,s03b_12,s03c_13,s03c_13a,s03c_14,s03c_15a,s03c_15b,s03c_16a,s03c_16b,s03c_17aa,s03c_17ab,s03c_17e,s04a_01,s04a_02,s04a_02a,s04a_03,s04a_04,s04a_05,s04a_06,s04a_06e,s04a_07,s04a_07e,s04a_08,s04b_09a_cod,s04b_10a_cod,s04b_11aa,s04b_11ab,s04b_11ba,s04b_11bb,s04b_12,s04b_13,s04b_14,s04b_15,s04b_16aa,s04b_16ab,s04c_17a,s04c_17b,s04c_18a,s04c_18b,s04c_19aa,s04c_19ab,s04c_19ba,s04c_19bb,s04c_20a1,s04c_20a2,s04c_20b,s04c_20a_1,s04c_20a_2,s04c_21a,s04c_21a1,s04c_21a2,s04c_21b,s04c_21b1,s04c_21b2,s04c_21c,s04c_21c1,s04c_21c2,s04c_21d,s04c_21d1,s04c_21d2,s04c_21e,s04c_21e1,s04c_21e2,s04d_22a,s04d_22b,s04d_23aa,s04d_23ab,s04d_23ba,s04d_23bb,s04d_23ca,s04d_23cb,s04d_23da,s04d_23db,s04d_23ea,s04d_23eb,s04d_23fa,s04d_23fb,s04d_23ga,s04d_23gb,s04d_23ha,s04d_23hb,s04d_24a,s04d_24b,s04d_24ba,s04d_24bb,s04d_24bc,s04e_25,s04e_26_cod,s04e_27,s04e_28,s04e_29,s04e_30a,s04e_30b,s04f_31a,s04f_31b,s04f_32a,s04f_32a1,s04f_32b,s04f_32b1,s04f_32c,s04f_32c1,s04f_33a,s04f_33b,s04f_34a,s04f_34b,s04f_34ba,s04f_34bb,s04f_34bc,s04f_35,s04f_36,s05a_01a,s05a_01b,s05a_01c,s05a_01d,s05a_01e,s05a_01e0,s05a_01f,s05a_02a,s05a_02b,s05a_02c,s05a_02ce,s05a_03a,s05a_03b,s05a_03c,s05a_04a,s05a_04b,s05a_04c,s05a_04d,s05b_05aa,s05b_05ab,s05b_05ba,s05b_05bb,s05b_05ca,s05b_05cb,s05b_06aa,s05b_06ab,s05b_06ae,s05b_06ba,s05b_06bb,s05b_06be,s05b_06ca,s05b_06cb,s05b_06ce,s05c_07,s05c_08,s05c_09a,s05c_09b,s05c_09be,s05c_09aa,s05c_10,upm,estrato,factor,tipohogar,niv_ed,niv_ed_g,cmasi,educ_prev,aestudio,cobersalud,hnv_ult_a,quienatenparto,cob_op,caeb_op,caeb_os,pet,pea,pei,condact,phrs,shrs,tothrs,yprilab,yseclab,ylab,ynolab,yper,yhog,yhogpc,z,zext,p0,p1,p2,pext0,pext1,pext2,Asistencia_Escolar,Nivel_Educativo_Alcanzado,ICV,IASB,pared_buena,piso_bueno,techo_bueno,agua_mejorada,electricidad,sanit_mejorado,internet,ratio_dependencia,sexo_jefe,nivel_ed_jefe,ocup_jefe,vivienda_precaria,sin_servicios
111-000005-A-0041,1.0,1.0,3.0,2.0,15.0,28.0,8.0,2010.0,3.0,0.0,0.0,1.0,,6.0,,,6.0,2.0,,6.0,1.0,,,,,,,,2.0,,1.0,,,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,,0.0,0.0,0.0,0.0,50.0,1.0,1.0,1.0,1.0,,3.0,,,,,,,,,,,,,,,,,,,1.0,1.0,42.0,2.0,,,1.0,,,42.0,3.0,2.0,,1.0,1.0,1.0,,,,1.0,1.0,1.0,2.0,,1.0,1.0,1.0,3.0,,2.0,9.0,,10.0,2.0,2.0,1.0,,4.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,0.0,0.0,,0.0,,0.0,,0.0,,,0.0,,,0.0,,,2.0,,,,,,,111-000005-A,111,218.34615100688364,3.0,3.0,2.0,2.0,,8.0,1.0,0.0,,,,,1.0,0.0,1.0,5.0,,,,,,,0.0,0.0,2701.18994140625,900.3966674804688,1418.699951171875,732.510009765625,1.0,0.3653367757797241,0.13347095251083374,0.0,0.0,0.0,1.0,2.0,3,3,1,1,1,1,1,1,0,0.0,2.0,1.0,5.0,0,0
111-000005-A-0051,1.0,1.0,2.0,2.0,18.0,3.0,5.0,2007.0,2.0,1.0,0.0,0.0,,27.0,6.0,,27.0,1.0,28.0,2.0,2.0, 1,0104,010401,,1.0,,2025.0,2.0,10.0,1.0,,,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,,0.0,0.0,0.0,0.0,120.0,1.0,1.0,1.0,1.0,,3.0,,,,,,,,,,,,,,,,,,,1.0,1.0,63.0,3.0,,,1.0,,,78.0,1.0,,,,1.0,4.0,4.0,,2.0,2.0,,2.0,1.0,2.0,1.0,2.0,1.0,,,1.0,,,,,,,,,,,51310,56101,1.0,4.0,1.0,4.0,1.0,4.0,7.0,6.0,7.0,45.0,900.0,4.0,0.0,0.0,0.0,,0.0,,2.0,,2.0,2.0,2.0,1.0,1.0,7.0,2.0,,,2.0,,,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,0.0,0.0,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,,0.0,,,0.0,,,2.0,,,,,,,111-000005-A,111,218.34615100688364,2.0,4.0,2.0,3.0,,12.0,1.0,0.0,,5.0,8.0,,1.0,1.0,0.0,1.0,46.5,,46.5,1081.8599853515625,,1081.8599853515625,0.0,1081.8599853515625,2833.85986328125,1416.929931640625,1418.699951171875,732.510009765625,1.0,0.0012476348783820868,1.5565927924399148e-06,0.0,0.0,0.0,0.0,2.0,3,2,1,1,1,1,1,0,0,0.0,1.0,2.0,7.0,0,1
111-000005-A-0061,1.0,1.0,2.0,2.0,17.0,13.0,9.0,2008.0,3.0,0.0,0.0,1.0,,6.0,,,6.0,2.0,,6.0,2.0, 1,0106,010601,,1.0,,2024.0,1.0,2.0,1.0,,,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,,0.0,0.0,0.0,0.0,100.0,1.0,1.0,1.0,2.0,4.0,3.0,,,,,,,,,,,,,,,,,,,1.0,1.0,42.0,4.0,,,1.0,,,42.0,5.0,1.0,10.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,2.0,,1.0,1.0,1.0,3.0,,1.0,,,,,,,,,,,73184,14302,1.0,8.0,1.0,8.0,6.0,,3.0,1.0,4.0,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,0.0,0.0,,0.0,,0.0,,0.0,,,0.0,,,540.0,8.0,DESAYUNO ESCOLAR,2.0,,,,,,,111-000005-A,111,218.34615100688364,3.0,3.0,2.0,2.0,,10.0,1.0,0.0,,7.0,2.0,,1.0,1.0,0.0,1.0,4.75,,4.75,,,,45.0,45.0,3617.699951171875,602.9500122070312,1418.699951171875,732.510009765625,1.0,0.5749981999397278,0.33062294125556946,1.0,0.17687129974365234,0.031283456832170486,1.0,2.0,3,3,1,1,1,1,1,1,0,1.0,2.0,1.0,5.0,0,0
111-000005-A-0061,1.0,1.0,3.0,2.0,15.0,25.0,11.0,2010.0,3.0,0.0,0.0,1.0,,6.0,,,6.0,2.0,,6.0,2.0, 1,0106,010601,,1.0,,2024.0,2.0,2.0,1.0,,,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,3.0,,,,,,,,,,,,,,,,,,,1.0,1.0,42.0,2.0,,,1.0,,,42.0,3.0,1.0,10.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,2.0,,1.0,2.0,1.0,3.0,,2.0,9.0,,10.0,2.0,2.0,1.0,,10.0,POR QUE NO LE TOMO IMPORTANCIA,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,0.0,0.0,,0.0,,0.0,,0.0,,,0.0,,,540.0,8.0,DESAYUNO ESCOLAR,2.0,,,,,,,111-000005-A,111,218.34615100688364,3.0,3.0,2.0,2.0,,8.0,1.0,0.0,,,,,1.0,0.0,1.0,5.0,,,,,,,45.0,45.0,3617.699951171875,602.9500122070312,1418.699951171875,732.510009765625,1.0,0.5749981999397278,0.33062294125556946,1.0,0.17687129974365234,0.031283456832170486,1.0,2.0,3,3,1,1,1,1,1,1,0,1.0,2.0,1.0,5.0,0,0
111-000005-A-0061,1.0,1.0,4.0,2.0,11.0,11.0,8.0,2014.0,3.0,,0.0,1.0,,6.0,27.0,,6.0,2.0,,,2.0, 1,0106,010601,,3.0,,2024.0,2.0,2.0,1.0,,,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,41.0,5.0,,,1.0,,,41.0,6.0,1.0,10.0,1.0,1.0,1.0,,,,2.0,,1.0,2.0,,2.0,,,,,1.0,,,,,,,,,,,94110,5610,1.0,8.0,1.0,8.0,6.0,,3.0,3.0,2.0,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,0.0,,0.0,,,0.0,,,540.0,8.0,DESAYUNO ESCOLAR,2.0,,,,,,,111-000005-A,111,218.34615100688364,3.0,1.0,1.0,2.0,,5.0,1.0,,,9.0,8.0,,0.0,1.0,0.0,1.0,8.25,,8.25,,,,45.0,45.0,3617.699951171875,602.9500122070312,1418.699951171875,732.510009765625,1.0,0.5749981999397278,0.33062294125556946,1.0,0.17687129974365234,0.031283456832170486,1.0,1.0,3,3,1,1,1,1,1,1,0,1.0,2.0,1.0,5.0,0,0
111-000005-A-0071,1.0,1.0,3.0,2.0,12.0,16.0,1.0,2013.0,3.0,0.0,1.0,2.0,,6.0,,,6.0,2.0,,6.0,1.0,,,,,,,,1.0,,1.0,,,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,,0.0,0.0,0.0,0.0,20.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,41.0,5.0,,,1.0,,,41.0,6.0,1.0,10.0,1.0,1.0,1.0,,,,2.0,,2.0,2.0,,2.0,,,,,2.0,9.0,,10.0,2.0,2.0,1.0,,4.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,0.0,,0.0,,,0.0,,,560.0,8.0,DESAYUNO ESCOLAR,2.0,,,,,,,111-000005-A,111,218.34615100688364,4.0,1.0,1.0,2.0,,5.0,1.0,,,,,,0.0,0.0,1.0,5.0,,,,,,,46.66666793823242,46.66666793823242,491.6666564941406,122.91666412353516,1418.699951171875,732.510009765625,1.0,0.9133596420288086,0.8342258334159851,1.0,0.8321979641914368,0.6925534605979919,1.0,1.0,3,3,1,1,1,1,1,1,0,1.0,1.0,2.0,8.0,0,0
111-000005-A-0071,1.0,1.0,4.0,1.0,11.0,5.0,9.0,2014.0,3.0,,1.0,2.0,,6.0,27.0,,6.0,2.0,,,1.0,,,,,,,,1.0,,1.0,,,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,41.0,4.0,,,1.0,,,41.0,5.0,1.0,10.0,1.0,1.0,1.0,,,,2.0,,2.0,2.0,,2.0,,,,,2.0,9.0,,10.0,2.0,2.0,1.0,,4.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,0.0,,0.0,,,0.0,,,540.0,8.0,DESAYUNO ESCOLAR,2.0,,,,,,,111-000005-A,111,218.34615100688364,4.0,1.0,1.0,2.0,,4.0,1.0,,,,,,0.0,0.0,1.0,5.0,,,,,,,45.0,45.0,491.6666564941406,122.91666412353516,1418.699951171875,732.510009765625,1.0,0.9133596420288086,0.8342258334159851,1.0,0.8321979641914368,0.6925534605979919,1.0,1.0,3,3,1,1,1,1,1,1,0,1.0,1.0,2.0,8.0,0,0
111-000005-A-0091,1.0,1.0,3.0,1.0,18.0,27.0,12.0,2006.0,3.0,0.0,1.0,2.0,,6.0,27.0,,6.0,2.0,,6.0,1.0,,,,,,,,2.0,,1.0,,,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,42.0,6.0,,,1.0,,,73.0,1.0,,,,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,2.0,9.0,,10.0,2.0,2.0,1.0,,4.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,0.0,0.0,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,,0.0,,,0.0,,,2.0,,,,,,,111-000005-A,111,218.34615100688364,4.0,4.0,2.0,2.0,,12.0,1.0,,,,,,1.0,0.0,1.0,5.0,,,,,,,0.0,0.0,6126.66650390625,1531.6666259765625,1418.699951171875,732.510009765625,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3,4,1,1,1,1,1,1,1,0.3333333333333333,1.0,3.0,7.0,0,0
111-000005-A-0091,1.0,1.0,4.0,1.0,13.0,23.0,11.0,2012.0,3.0,0.0,1.0,2.0,,6.0,,,6.0,2.0,,6.0,1.0,,,,,,,,1.0,,1.0,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,41.0,6.0,,,1.0,,,42.0,1.0,1.0,8.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,2.0,,1.0,1.0,1.0,,,2.0,9.0,,10.0,2.0,2.0,1.0,,4.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,0.0,,0.0,,,0.0,,,320.0,8.0,DESAYUNO ESCOLAR,2.0,,,,,,,111-000005-A,111,218.34615100688364,4.0,2.0,1.0,2.0,,6.0,1.0,,,,,,0.0,0.0,1.0,5.0,,,,,,,26.66666603088379,26.66666603088379,6126.66650390625,1531.6666259765625,1418.699951171875,732.510009765625,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3,4,1,1,1,1,1,1,1,0.3333333333333333,1.0,3.0,7.0,0,0
111-000005-A-0111,1.0,1.0,4.0,1.0,6.0,28.0,3.0,2019.0,6.0,,0.0,3.0,,6.0,,,6.0,2.0,,,1.0,,,,,,,,1.0,,1.0,,,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,,8800.0,0.0,0.0,0.0,3000.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,1.0,2.0,13.0,2.0,,,1.0,,,41.0,1.0,1.0,9.0,2.0,1.0,1.0,,,,2.0,,2.0,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,0.0,,,0.0,,,0.0,,,,,,,,,,111-000005-A,111,218.34615100688364,5.0,0.0,0.0,2.0,,0.0,1.0,,,,,,0.0,,,,,,,,,,0.0,0.0,7056.02685546875,1764.0067138671875,1418.699951171875,732.510009765625,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3,4,1,1,1,1,1,1,1,0.3333333333333333,1.0,1.0,7.0,0,0
