Variable,Importancia
s01a_03,0.30617835524000553
aestudio,0.22435177345711563
yhogpc,0.1003015031224478
ratio_dependencia,0.0842187012555966
nivel_ed_jefe,0.06998706959641825
IASB,0.05756375023323759
area_2.0,0.03363148979832793
ICV,0.03240731944400986
depto_7.0,0.02021290024664571
s01a_02_2.0,0.016570679707376298
depto_2.0,0.012472920686232536
depto_3.0,0.010980969838016818
s01a_09_2.0,0.007885601418685578
depto_5.0,0.005569889582647573
depto_4.0,0.005559037419246766
depto_9.0,0.004246417761502131
depto_6.0,0.0039368157335749636
depto_8.0,0.003924805458912427
