folio,nro,Real,Prediccion_RF,Probabilidad_RF,Prediccion_LR,Probabilidad_LR
714-009159-A-0051,2.0,1,1,0.9280118103743806,1,0.5490827307584749
413-001577-A-0041,4.0,1,1,0.979509855375087,1,0.8992752051549373
941-000909-D-0301,5.0,1,1,0.9567561561855152,1,0.8533014982198766
914-000492-A-0031,5.0,1,1,0.9839098649054289,1,0.8803599231321615
214-005554-A-0171,4.0,1,1,0.9858503416304294,1,0.9567299975784876
252-029035-D-0061,3.0,1,1,0.9465523065211736,1,0.6962887575155059
314-005976-A-0191,4.0,1,1,0.9241551877998997,1,0.9898898690181807
312-000874-A-0401,8.0,1,1,0.9983122849435456,1,0.9572396618665766
113-001020-A-0011,3.0,1,1,0.9980807758525652,1,0.9500012663487175
341-015167-D-0231,4.0,1,1,0.8810489665014234,1,0.9134289940277477
711-000925-A-0341,3.0,1,1,0.835941034830462,1,0.9541109161827938
313-002587-A-0101,7.0,1,1,0.8934365726042085,1,0.9815970287997138
312-000749-A-0191,3.0,1,1,0.6470764554395178,0,0.48888435644027417
713-004692-A-0181,5.0,1,1,0.6757834182251168,0,0.253190908574457
214-005033-A-0111,3.0,1,1,0.994882960681506,1,0.9461286630725827
722-015711-A-0271,3.0,1,1,0.9371105235861434,1,0.6074411387657166
643-004170-D-0371,5.0,1,1,0.8007000608573862,1,0.6269429057657407
313-002762-A-0111,4.0,1,1,0.9635525159304192,1,0.8652163694169137
914-000539-A-0151,4.0,1,0,0.462987219633659,1,0.584007927460553
313-002026-A-0151,6.0,1,1,0.9499284818036977,1,0.8543849926506687
324-008075-A-0031,2.0,1,1,0.727313278340825,1,0.6517394735749396
312-001156-A-0331,4.0,1,1,0.8445883620911675,1,0.5867215393547831
322-009969-A-0071,3.0,1,1,0.9990329621143762,1,0.9707820397145209
262-012586-A-0051,3.0,1,1,0.8852016964099437,1,0.7323932920486536
722-013982-A-0151,5.0,1,1,0.9428601477269658,1,0.9094211440171293
553-006644-D-0071,5.0,1,1,0.8579690148575039,1,0.8481954366203592
253-028149-D-0151,2.0,1,1,0.7728020389853665,1,0.5092769370730825
144-003631-A-0011,3.0,1,1,0.6818570235838538,0,0.4298312944012999
542-005159-A-0031,3.0,1,1,0.9283361449523537,1,0.5282360050837428
152-003967-D-0021,3.0,1,1,0.9110469044775182,1,0.5817210222301304
241-021702-A-0131,6.0,1,1,0.944080142262597,1,0.8468385217781713
412-000947-A-0081,6.0,1,1,0.8437545813453189,1,0.7323487889832457
744-020611-A-0021,3.0,1,1,0.9424937054636666,1,0.7093264221448274
722-019369-A-0591,4.0,1,1,0.5457163383094802,1,0.9326865454016372
312-001156-A-0191,3.0,1,1,0.9184101247737717,1,0.6480928406593515
852-004057-D-0181,3.0,1,1,0.817685294181841,1,0.8644850865613135
351-017513-D-0231,4.0,1,1,0.9496183308156274,1,0.7887548048028166
264-017939-A-0071,3.0,1,1,0.7186707248129441,0,0.4232036271263946
523-003144-A-0011,4.0,1,1,0.7964207657075739,1,0.6123308612587799
413-001503-A-0401,5.0,1,1,0.9418333737679919,1,0.7515754669163579
261-008563-A-0171,3.0,1,1,0.9881910759267062,1,0.7061159425399941
712-002321-A-0201,4.0,1,1,0.9090839972231076,1,0.7127047395889685
312-000930-A-0201,4.0,0,1,0.837126430250889,0,0.46748136586494515
742-023019-D-0561,3.0,1,0,0.39640547681162513,0,0.05019343631649587
263-015803-A-0091,6.0,1,1,0.8838575086554715,0,0.4612337234398716
144-003063-A-0141,2.0,1,1,0.7282184960703332,0,0.2532566004092441
543-006060-D-0211,4.0,0,0,0.4280935427937044,0,0.08290603558018768
212-000193-A-0181,6.0,1,1,0.9900123541844743,1,0.7858616787007304
222-019011-A-0311,4.0,1,1,0.9536148092748729,1,0.7556889655624748
723-016381-A-0141,4.0,1,1,0.9057983267263198,1,0.6490356433042803
262-012586-A-0171,4.0,1,1,0.9913550565786479,1,0.9052625238559026
314-005564-A-0171,4.0,1,1,0.9923730680602767,1,0.963532289300736
263-016477-A-0041,3.0,1,1,0.8359625107609033,1,0.5375794179686437
723-013128-A-0221,4.0,1,1,0.9680077904426441,1,0.8616219470368083
821-001147-A-0291,4.0,1,1,0.8766174260989895,1,0.5307730576597977
911-000020-A-0031,3.0,1,1,0.8187573548888557,1,0.9550753236384015
314-006324-A-0101,6.0,1,1,0.8782912367773961,1,0.9911103369812891
313-002701-A-0251,4.0,1,1,0.9613351561945751,1,0.8546425090835053
714-011889-A-0011,3.0,1,1,0.7606865958946252,0,0.2689655070817431
732-015084-A-0161,3.0,1,1,0.8905170814624532,0,0.365601183823869
412-001281-A-0201,3.0,1,1,0.7896101286475034,0,0.4888084161858872
713-008025-A-0131,5.0,1,1,0.9127822871423109,1,0.6104674343910749
351-014883-D-0251,4.0,1,1,0.7148358287238689,1,0.5262944316953843
952-001020-D-0071,3.0,1,1,0.5979273369649546,0,0.3588290630416141
262-009934-A-0091,5.0,1,1,0.9839595365239895,1,0.9024050919597579
633-002834-A-0081,4.0,1,1,0.9858607506305209,1,0.8209749926850608
614-001634-A-0471,5.0,1,1,0.9738484638622231,1,0.9654393017958748
623-002558-A-0061,3.0,1,1,0.9806737235255586,1,0.9312931719783956
151-005024-D-0011,3.0,1,1,0.5458963602367278,0,0.3238722466556037
221-006796-A-0091,4.0,1,0,0.33560965454681213,0,0.11891857392601149
211-000118-A-0081,4.0,1,1,0.938231175877389,1,0.7221029144700791
324-010856-A-0011,5.0,1,1,0.9995564527824669,1,0.9865254335003669
